System,Argo
Data_Size,1000000
Load_time,957.14,500_extra_for_bulk2json
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14
14.36,11.40,7.72,7.91,0.16,1.65,1.61,0.02,0.24,0.97,1.56,0.21,4.88
12.54,11.18,7.76,7.75,0.00,1.38,1.72,0.01,0.15,0.91,1.44,0.00,4.88
12.62,11.19,7.74,7.73,0.01,1.47,1.66,0.01,0.15,0.88,1.48,0.00,4.95
12.59,11.16,7.77,7.76,0.00,1.90,1.68,0.01,0.15,0.89,1.48,0.00,4.91
12.74,11.14,7.77,7.74,0.00,1.40,1.87,0.01,0.15,0.91,1.41,0.00,4.91
12.66,11.20,7.92,7.81,0.00,1.71,1.97,0.01,0.15,0.90,1.46,0.00,4.99
12.80,11.28,7.83,7.82,0.00,1.39,1.69,0.01,0.15,0.91,1.52,0.00,4.95
12.64,11.32,7.82,7.79,0.01,1.79,2.04,0.01,0.15,0.90,1.45,0.00,4.95
12.69,11.16,7.77,7.74,0.00,2.90,2.09,0.01,0.15,0.88,1.55,0.00,5.00
12.76,11.29,7.82,7.79,0.00,1.40,2.24,0.01,0.16,0.91,1.44,0.00,4.95
