System,Mongo
Data_Size,4000000
Load_time,136.02
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
34.24,45.61,4.40,4.47,1.79,2.27,1.97,3.00,2.58,5.62,15.28,0.21,3.29,30.93
33.57,48.83,4.41,4.65,1.88,3.24,2.55,3.28,2.86,6.09,17.05,0.22,3.46,35.43
38.55,49.04,4.72,5.06,2.09,3.25,2.80,3.34,2.86,6.37,16.68,0.24,3.44,33.88
37.53,49.28,4.41,4.64,1.96,3.40,2.30,3.21,3.04,6.50,16.62,0.24,3.45,32.83
35.68,44.97,4.30,4.50,1.79,2.73,2.31,3.04,2.60,6.21,15.31,0.23,2.99,31.15
33.19,44.89,4.28,4.51,0.63,3.23,2.58,3.01,2.54,5.42,15.82,0.23,3.12,30.93
35.06,47.67,4.46,4.42,1.80,2.20,2.56,3.00,2.56,5.87,16.55,0.26,3.90,32.12
35.33,47.21,4.75,4.85,2.18,3.39,2.33,3.24,2.92,6.32,16.26,0.22,3.16,33.58
35.74,48.45,4.82,5.39,2.38,3.31,2.22,3.30,2.69,6.18,16.43,0.22,3.16,31.96
33.99,47.70,4.83,4.71,1.89,2.97,2.74,3.03,2.93,5.93,16.49,0.25,3.58,31.57
